DATA,COLETIVOS_TOTAL,COLETIVOS_MICRO,TRABALHADORES_TOTAL,TRABALHADORES_MICRO
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,1,1,4,4
2020-03-04,2,1,8,4
2020-03-05,4,3,16,12
2020-03-06,6,3,37,12
2020-03-07,6,3,37,12
2020-03-08,6,3,37,12
2020-03-09,7,4,40,15
2020-03-10,8,5,44,19
2020-03-11,8,5,44,19
2020-03-12,8,5,44,19
2020-03-13,12,8,66,31
2020-03-14,12,8,66,31
2020-03-15,12,8,66,31
2020-03-16,14,9,72,33
2020-03-17,16,9,88,33
2020-03-18,20,12,196,51
2020-03-19,23,13,220,55
2020-03-20,26,13,321,55
2020-03-21,26,13,321,55
2020-03-22,26,13,321,55
2020-03-23,29,14,360,64
2020-03-24,32,14,391,64
2020-03-25,45,21,612,106
2020-03-26,47,22,651,109
2020-03-27,49,22,682,109
2020-03-28,49,22,682,109
2020-03-29,49,22,682,109
2020-03-30,53,24,762,123
2020-03-31,57,27,786,143
2020-04-01,2,1,13,3
2020-04-02,18,10,164,52
2020-04-03,21,11,196,57
2020-04-04,21,11,196,57
2020-04-05,21,11,196,57
2020-04-06,33,19,280,91
2020-04-07,44,28,354,137
2020-04-08,48,30,408,142
2020-04-09,50,32,414,148
2020-04-10,50,32,414,148
2020-04-11,50,32,414,148
2020-04-12,50,32,414,148
2020-04-13,52,33,429,152
2020-04-14,66,42,542,197
2020-04-15,70,44,605,210
2020-04-16,85,51,728,243
2020-04-17,90,53,762,256
2020-04-18,90,53,762,256
2020-04-19,90,53,762,256
2020-04-20,95,56,810,263
2020-04-21,101,57,902,265
2020-04-22,105,59,937,277
2020-04-23,115,65,1040,305
2020-04-24,120,67,1091,316
2020-04-25,120,67,1091,316
2020-04-26,120,67,1091,316
2020-04-27,123,70,1111,336
2020-04-28,130,73,1235,358
2020-04-29,133,75,1245,365
2020-04-30,140,79,1324,381
2020-05-01,0,0,0,0
2020-05-02,0,0,0,0
2020-05-03,0,0,0,0
2020-05-04,5,2,40,13
2020-05-05,8,4,49,19
2020-05-06,12,6,89,27
2020-05-07,14,6,104,27
2020-05-08,14,6,104,27
2020-05-09,14,6,104,27
2020-05-10,14,6,104,27
2020-05-11,21,10,148,40
2020-05-12,26,13,214,51
2020-05-13,30,15,234,57
2020-05-14,34,18,261,71
2020-05-15,37,19,284,75
2020-05-16,37,19,284,75
2020-05-17,37,19,284,75
2020-05-18,38,19,308,75
2020-05-19,43,20,386,81
2020-05-20,44,20,406,81
2020-05-21,45,20,419,81
2020-05-22,51,22,494,88
2020-05-23,51,22,494,88
2020-05-24,51,22,494,88
2020-05-25,52,22,498,88
2020-05-26,54,24,509,99
2020-05-27,54,24,509,99
2020-05-28,55,24,529,99
2020-05-29,57,25,544,103
2020-05-30,57,25,544,103
2020-05-31,57,25,544,103
2020-06-01,3,0,180,0
2020-06-02,9,2,239,8
2020-06-03,10,3,244,13
2020-06-04,13,5,302,19
2020-06-05,16,5,362,19
2020-06-06,16,5,362,19
2020-06-07,16,5,362,19
2020-06-08,21,7,617,32
2020-06-09,25,9,650,44
2020-06-10,25,9,650,44
2020-06-11,25,9,650,44
2020-06-12,27,9,656,44
2020-06-13,27,9,656,44
2020-06-14,27,9,656,44
2020-06-15,30,12,670,58
2020-06-16,34,13,710,61
2020-06-17,36,15,715,66
2020-06-18,38,15,741,66
2020-06-19,40,16,751,69
2020-06-20,40,16,751,69
2020-06-21,40,16,751,69
2020-06-22,44,16,798,69
2020-06-23,45,17,800,71
2020-06-24,46,18,803,74
2020-06-25,47,19,805,76
2020-06-26,48,19,811,76
2020-06-27,48,19,811,76
2020-06-28,48,19,811,76
2020-06-29,49,19,815,76
2020-06-30,52,19,843,76
2020-07-01,2,0,38,0
2020-07-02,3,0,91,0
2020-07-03,5,1,104,7
2020-07-04,5,1,104,7
2020-07-05,5,1,104,7
2020-07-06,6,1,107,7
2020-07-07,7,1,114,7
2020-07-08,9,1,127,7
2020-07-09,12,1,163,7
2020-07-10,18,3,199,14
2020-07-11,18,3,199,14
2020-07-12,18,3,199,14
2020-07-13,21,3,213,14
2020-07-14,23,4,223,18
2020-07-15,25,4,255,18
2020-07-16,27,5,264,22
2020-07-17,31,8,278,33
2020-07-18,31,8,278,33
2020-07-19,31,8,278,33
2020-07-20,32,9,280,35
2020-07-21,37,11,507,40
2020-07-22,39,12,536,42
