DATA,Nº TRABALHADORES,REMUNERAÇÕES DECLARADAS
2020-03-31,72507,69174523
2020-04-01,231683,225500911
2020-04-02,350028,339900463
2020-04-03,425287,434790415
2020-04-04,551955,570960157
2020-04-05,566751,583655511
2020-04-06,572727,589001243.54
2020-04-07,641731,654727658.3
2020-04-08,729512,746301278.52
2020-04-09,796088,811077994.67
2020-04-10,868863,882742534.42
2020-04-11,883798,901547920.67
2020-04-12,903387,916598658.75
2020-04-13,909653,921889215.96
2020-04-14,938821,950948580.36
2020-04-15,980592,991044873.58
2020-04-16,1018244,1025372101.4
2020-04-17,1045187,1051781310.88
2020-04-18,1079347,1094397677.47
2020-04-19,1083062,1097691719.01
2020-04-20,1085824,1100631821.99
2020-04-21,1112312,1129520573.09
2020-04-22,1132572,1147338055.26
2020-04-23,1145660,1162468645.8
2020-04-24,1162159,1179346012.24
2020-04-25,1178380,1193033221.94
2020-04-26,1179816,1194227768.44
2020-04-27,1180769,1194991587.27
2020-04-28,1191323,1204553182.33
2020-04-29,1191323,1204553183.33
2020-04-30,1211880,1225110487.72
2020-05-01,1250124,1262031036.89
2020-05-02,1256266,1268635212.25
2020-05-03,1257766,1270025370.05
2020-05-04,1258938,1271008109.68
2020-05-05,1269728,1282185597.53
2020-05-06,1277526,1290784001.79
2020-05-07,1283774,1296586057.63
2020-05-08,1290003,1302478462.56
2020-05-09,1297284,1310193248.99
2020-05-10,1298468,1311195124.29
2020-05-11,1299115,1311783279.33
2020-05-12,1304013,1317116599.19
2020-05-13,1308646,1321827433.92
2020-05-14,1312047,1325015408.19
2020-05-15,1315187,1327878091.35
2020-05-16,1318893,1334509327.55
2020-05-17,1319393,1334950814.14
2020-05-18,1319584,1335111718.94
2020-05-19,1321931,1337420382.04
2020-05-20,1323435,1338890402.48
2020-05-21,1325635,1341053935.28
2020-05-26,1329401,1344475395.04
2020-05-27,1332114,1346686714.61
2020-06-02,1343852,1361803277.77
2020-06-05,1347145,1365024174.96
2020-06-09,1349103,1366880761.35
2020-06-16,1351414,1369194529.07
2020-06-23,1353556,1371257251.32
2020-06-26,1355086,1372989011.86
2020-07-01,1359622,1378491676.19
2020-07-02,1360157,1378988819.5
2020-07-06,1361229,1380149126.56
2020-07-07,1363172,1382678281.48
2020-07-08,1363768,1383277091.26
