Distritos,PRO_MOE,PRO_TI,MOE,TI
TOTAL,19717,290685,25108,198999
AVEIRO,924,20351,1319,13824
BEJA,87,3516,138,2500
BRAGA,1436,26231,1910,16097
BRAGANÇA,96,4075,141,2817
CASTELO BRANCO,227,4074,290,2946
COIMBRA,578,9930,825,7267
ÉVORA,169,3818,253,2647
FARO,1068,20728,1286,13829
GUARDA,137,3833,220,2706
LEIRIA,579,12356,865,8899
LISBOA,6727,60238,7969,44482
PORTALEGRE,86,2391,125,1719
PORTO,3752,52210,4788,33053
SANTARÉM,443,9513,627,6853
SETÚBAL,1557,22889,1925,16231
VIANA DO CASTELO,279,8606,396,5453
VILA REAL,213,5674,283,3936
VISEU,375,8340,514,5799
REGIÃO AUTÓNOMA DOS AÇORES,188,4763,297,3571
REGIÃO AUTÓNOMA DA MADEIRA,748,7010,861,4267
DESCONHECIDO/A,48,139,76,103
