Region,N° Empresas,Percentual(%)
Aveiro,7424,6.522522205919821
Beja,1005,0.882965357886506
Braga,10884,9.562383040036549
Bragança,1243,1.0920656117939571
Castelo Branco,1502,1.3196158881050069
Coimbra,3874,3.403589847216243
Évora,1362,1.1966157387476828
Faro,7136,6.269493327241897
Guarda,1384,1.2159443336466909
Leiria,5265,4.6256841883308
Lisboa,27345,24.024564886971646
Portalegre,750,0.6589293715570941
Porto,21577,18.95695873344989
Santarém,3577,3.142653816079634
Setúbal,6426,5.645706855501182
Viana do Castelo,2593,2.278138480596726
Vila Real,1979,1.7386949684153188
Viseu,3143,2.7613533530719288
R.A.Açores,2076,1.8239165004700364
R.A.Madeira,3231,2.838667732667961
DESCONHECIDO/A,45,0.03953576229342564
