Type,COVI_RED_TI,COVI_RED_TI,COVI_RED_TI,COVI_RED_TI,COVI_PRO_RED_TI,COVI_PRO_RED_TI,COVI_PRO_RED_TI,COVI_RED_MOE,COVI_RED_MOE,COVI_RED_MOE,COVI_PRO_RED_MOE,COVI_PRO_RED_MOE
Month,Refª a Março,Refª a Abril,Refª a Maio,Refª a Junho,Refª a Abril,Refª a Maio,Refª a Junho,Refª a Abril,Refª a Maio,Refª a Junho,Refª a Maio,Refª a Junho
Distritos,,,,,,,,,,,,
TOTAL,160163,28011,8565,398,112565,110697,15763,13312,10491,136,9805,1489
AVEIRO,11090,2041,545,33,8196,7721,991,639,621,4,451,56
BEJA,2020,349,105,1,1522,1364,101,75,49,,52,6
BRAGA,12796,2363,741,29,10112,9913,867,917,886,5,684,61
BRAGANÇA,2340,359,94,5,1781,1558,186,74,57,3,50,2
CASTELO BRANCO,2379,437,103,1,1714,1539,140,160,126,1,121,13
COIMBRA,5900,1054,246,6,4100,3778,532,461,330,7,316,46
ÉVORA,2204,324,97,4,1603,1498,148,128,118,1,84,12
FARO,10928,2113,608,38,7692,7993,1123,691,514,10,535,77
GUARDA,2204,348,132,7,1625,1484,115,102,107,,67,1
LEIRIA,7127,1321,357,6,5099,4672,548,444,384,2,295,35
LISBOA,35677,6181,2038,124,21824,23147,4564,4448,3100,53,3338,652
PORTALEGRE,1435,206,61,1,1035,890,75,80,43,1,51,9
PORTO,26596,4564,1536,53,19986,19769,2822,2443,2092,23,1834,261
SANTARÉM,5547,976,258,10,3862,3624,383,324,269,7,245,18
SETÚBAL,13142,2237,668,43,8740,8688,1512,1146,684,8,826,140
VIANA DO CASTELO,4325,789,263,8,3375,3200,348,196,182,,140,13
VILA REAL,3186,522,196,7,2389,2114,165,151,119,1,107,9
VISEU,4676,828,245,7,3469,3150,257,288,207,3,207,9
REGIÃO AUTÓNOMA DOS AÇORES,2894,498,143,7,1815,1886,283,115,167,3,75,32
REGIÃO AUTÓNOMA DA MADEIRA,3618,484,126,8,2576,2652,596,394,405,4,305,34
DESCONHECIDO/A,79,17,3,,50,57,7,36,31,,22,3
