PRESTAÇÕES REQUERIDAS DE DESEMPREGO ENTRADAS DESDE 20200301,Unnamed: 1,Unnamed: 2
,,
por data de início,,
,,
Nota: Situação da base de dados 23/06/2020,,
,,
,ENTRADAS,
,2020,
,Dia,Acumulado
2020-03-01 00:00:00,267,267
2020-03-02 00:00:00,2589,2856
2020-03-03 00:00:00,1435,4291
2020-03-04 00:00:00,1147,5438
2020-03-05 00:00:00,1189,6627
2020-03-06 00:00:00,1165,7792
2020-03-07 00:00:00,124,7916
2020-03-08 00:00:00,96,8012
2020-03-09 00:00:00,1372,9384
2020-03-10 00:00:00,1070,10454
2020-03-11 00:00:00,962,11416
2020-03-12 00:00:00,924,12340
2020-03-13 00:00:00,1023,13363
2020-03-14 00:00:00,134,13497
2020-03-15 00:00:00,80,13577
2020-03-16 00:00:00,1724,15301
2020-03-17 00:00:00,1899,17200
2020-03-18 00:00:00,2362,19562
2020-03-19 00:00:00,2532,22094
2020-03-20 00:00:00,2558,24652
2020-03-21 00:00:00,294,24946
2020-03-22 00:00:00,147,25093
2020-03-23 00:00:00,3266,28359
2020-03-24 00:00:00,2911,31270
2020-03-25 00:00:00,3008,34278
2020-03-26 00:00:00,2722,37000
2020-03-27 00:00:00,2765,39765
2020-03-28 00:00:00,316,40081
2020-03-29 00:00:00,136,40217
2020-03-30 00:00:00,2738,42955
2020-03-31 00:00:00,1862,44817
2020-04-01 00:00:00,6552,51369
2020-04-02 00:00:00,4077,55446
2020-04-03 00:00:00,3578,59024
2020-04-04 00:00:00,474,59498
2020-04-05 00:00:00,228,59726
2020-04-06 00:00:00,4087,63813
2020-04-07 00:00:00,3346,67159
2020-04-08 00:00:00,3246,70405
2020-04-09 00:00:00,2156,72561
2020-04-10 00:00:00,520,73081
2020-04-11 00:00:00,213,73294
2020-04-12 00:00:00,132,73426
2020-04-13 00:00:00,1979,75405
2020-04-14 00:00:00,2944,78349
2020-04-15 00:00:00,2614,80963
2020-04-16 00:00:00,2659,83622
2020-04-17 00:00:00,2379,86001
2020-04-18 00:00:00,351,86352
2020-04-19 00:00:00,191,86543
2020-04-20 00:00:00,2662,89205
2020-04-21 00:00:00,2105,91310
2020-04-22 00:00:00,1962,93272
2020-04-23 00:00:00,1665,94937
2020-04-24 00:00:00,1405,96342
2020-04-25 00:00:00,255,96597
2020-04-26 00:00:00,160,96757
2020-04-27 00:00:00,1999,98756
2020-04-28 00:00:00,1407,100163
2020-04-29 00:00:00,1358,101521
2020-04-30 00:00:00,982,102503
2020-05-01 00:00:00,1017,103520
2020-05-02 00:00:00,304,103824
2020-05-03 00:00:00,183,104007
2020-05-04 00:00:00,3836,107843
2020-05-05 00:00:00,2307,110150
2020-05-06 00:00:00,2116,112266
2020-05-07 00:00:00,2051,114317
2020-05-08 00:00:00,1772,116089
2020-05-09 00:00:00,204,116293
2020-05-10 00:00:00,129,116422
2020-05-11 00:00:00,2059,118481
2020-05-12 00:00:00,1685,120166
2020-05-13 00:00:00,1551,121717
2020-05-14 00:00:00,1336,123053
2020-05-15 00:00:00,1319,124372
2020-05-16 00:00:00,167,124539
2020-05-17 00:00:00,118,124657
2020-05-18 00:00:00,1631,126288
2020-05-19 00:00:00,1306,127594
2020-05-20 00:00:00,1260,128854
2020-05-21 00:00:00,1036,129890
2020-05-22 00:00:00,1007,130897
2020-05-23 00:00:00,83,130980
2020-05-24 00:00:00,73,131053
2020-05-25 00:00:00,1270,132323
2020-05-26 00:00:00,1006,133329
2020-05-27 00:00:00,955,134284
2020-05-28 00:00:00,848,135132
2020-05-29 00:00:00,638,135770
2020-05-30 00:00:00,73,135843
2020-05-31 00:00:00,47,135890
2020-06-01 00:00:00,2425,138315
2020-06-02 00:00:00,1515,139830
2020-06-03 00:00:00,1411,141241
2020-06-04 00:00:00,1289,142530
2020-06-05 00:00:00,1397,143927
2020-06-06 00:00:00,138,144065
2020-06-07 00:00:00,95,144160
2020-06-08 00:00:00,1475,145635
2020-06-09 00:00:00,1159,146794
2020-06-10 00:00:00,294,147088
2020-06-11 00:00:00,106,147194
2020-06-12 00:00:00,1458,148652
2020-06-13 00:00:00,71,148723
2020-06-14 00:00:00,60,148783
2020-06-15 00:00:00,1165,149948
2020-06-16 00:00:00,1084,151032
2020-06-17 00:00:00,920,151952
2020-06-18 00:00:00,772,152724
2020-06-19 00:00:00,543,153267
2020-06-20 00:00:00,96,153363
2020-06-21 00:00:00,29,153392
2020-06-22 00:00:00,750,154142
2020-06-23 00:00:00,6,154148
,,
,,
,,
PRESTAÇÕES REQUERIDAS DE DESEMPREGO ENTRADAS DESDE 20200301,,
por cdss,,
,,
TOTAL,,154148
AVEIRO,,10639
BEJA,,2432
BRAGA,,12039
BRAGANÇA,,865
CASTELO BRANCO,,1835
COIMBRA,,5300
ÉVORA,,2220
FARO,,12572
GUARDA,,981
LEIRIA,,6788
LISBOA,,32269
PORTALEGRE,,1702
PORTO,,29460
SANTARÉM,,5904
SETÚBAL,,15089
VIANA CASTELO,,4470
VILA REAL,,1266
VISEU,,4061
R.A.AÇORES,,2163
R.A.MADEIRA,,2093
