,Unnamed: 0,Setor,2020-04-17,2020-04-20,2020-04-23,2020-04-24,2020-04-27,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-19,2020-05-21,2020-05-27,2020-06-03,2020-06-09,2020-06-16
0,s/CAE,PESSOAS SINGULARES COM TRABALHADORES A CARGO ,7694,7982,8574,8734,8880,9141,9299,9571,9663,9854,9927,9966,10008,10042,10057,10101,10143,10200,10270,10308,10340
1,A,"Agricultura, produção animal, caça, floresta e pesca",5252,5521,5824,5913,5964,6068,6126,6323,6351,6566,6603,6608,6628,6688,6697,6724,6923,6947,7007,7016,7019
2,B,Indústrias extractivas,588,647,675,683,684,727,727,739,757,764,776,779,785,788,788,1019,1019,1019,1019,1026,1026
3,C,Indústrias transformadoras,206982,224283,239370,245220,250698,255695,258531,270175,273597,279212,282005,283821,285309,286049,287384,290163,290935,292646,299117,300926,301984
4,D,"Electricidade, gás, vapor, água quente e fria e ar frio",564,564,571,579,580,580,580,580,636,636,636,644,644,644,644,644,644,644,644,644,644
5,E,"Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",1371,1525,1620,1623,1638,1711,1715,3601,3806,3817,3826,3837,3856,3944,3944,3955,3957,3963,3988,4016,4016
6,F,Construção,39280,40560,43216,44928,45515,46482,47162,49007,50060,51331,51777,51980,52210,52376,52440,52701,52834,53263,53608,53956,53981
7,G,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,190014,196472,209146,211522,214844,219722,221481,227964,230128,234439,235936,236499,237798,238491,238931,240099,240935,242252,243601,244211,244535
8,H,Transportes e armazenagem,56195,57252,60642,61409,61779,62452,63109,64232,64507,65578,65874,66084,66238,66443,66615,66973,67158,67450,67764,67987,68085
9,I,"Alojamento, restauração e similares",207515,211129,218502,220211,221755,224069,224953,227128,227829,229467,230314,230759,231054,231366,231597,232129,232433,233038,233729,234138,234331
10,J,Actividades de informação e de comunicação ,19119,19430,21196,21332,21408,21909,22270,23002,23184,23500,23592,23642,23703,23779,23864,23967,24034,24103,24246,24326,24355
11,K,Actividades financeiras e de seguros,3387,3433,3966,3979,3982,4094,4154,4300,4348,4547,5083,5095,5100,5110,5112,5131,5187,5195,5225,5253,5255
12,L,Actividades imobiliárias,13393,13730,14317,14424,14599,14842,14983,15554,15641,16005,16083,16221,16410,16485,16528,16584,16654,16774,16842,16895,16910
13,M,"Actividades de consultoria, científicas, técnicas e similares",30729,31791,33727,34046,34368,35066,35357,44949,45725,46926,48133,48454,48646,48958,49095,49337,49514,49805,50219,50446,50538
14,N,Actividades administrativas e dos serviços de apoio,126278,127316,131207,131566,135711,136620,136980,143915,144501,146014,146502,146917,147266,147344,147475,147941,148034,148887,149466,149699,149889
15,O,Administração pública e defesa; segurança social obrigatória,791,816,918,948,948,1002,1037,1038,1081,1116,1188,1207,1225,1267,1267,1294,1294,1294,1316,1316,1316
16,P,Educação,25496,27337,29184,29654,30203,31974,32248,33228,33659,34177,34314,34443,34456,34482,34568,34600,34687,34770,34876,34905,34995
17,Q,Actividades de saúde humana e apoio social,70938,75602,80920,82671,84392,85851,86961,89062,89504,90971,91343,91693,91816,92126,92542,92842,93392,93878,94573,95543,95651
18,R,"Actividades artísticas, de espectáculos, desportivas e recreativas",21628,22144,22894,23186,23318,23555,23678,24180,24220,24458,24530,24660,24722,24806,24828,24931,24999,25155,25331,25428,25465
19,S,Outras actividades de serviços,26635,27287,29039,29504,29977,30561,31357,32191,32490,32923,33080,33151,33253,33382,33359,33439,33553,33674,33955,34074,34131
20,T + U,Actividades das famílias empregadoras de pessoal doméstico e actividades de produção das  famílias para uso próprio + Actividades dos organismos internacionais e outras instituições extra-territoriais,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
