EEs QUE ENTREGARAM DOCUMENTO - COVID19 - Layoff Simplificado,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,EEs QUE ENTREGARAM DOCUMENTO - COVID19 - Layoff Simplificado.1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
E COM REMUNERAÇÃO DECLARADA EM 2020-02,,,,,,,por Distrito/Região Autónoma,,,,,,,
por CAE,,,,,,,e Dimensão de EE,,,,,,,
,,,,,,,,,,,,,,
Nota: ,,,,,,,Notas:,,,,,,,
Situação da base de dados 22/07/2020,,,,,,,Situação da base de dados 22/07/2020,,,,,,,
Uma PS pode ter remunerações por várias NISS_EE com CAEs diferentes,,,,,,,,,,,,,,
,,,,Por sexo:,,,,,,,,,,
,,,,Nº TRABALHADORES,,,,,,,,,,
,,Nº NISS_EE,Nº TRABALHADORES,Feminino,Masculino,,,Nº NISS_EE,,até 10 trabalhadores,11 a 25 trabalhadores,26 a 49 trabalhadores,50 a 249 trabalhadores,>= 250 trabalhadores
TOTAL,,114901,1379349,710736,668613,,TOTAL,115148,1.0,93615,13315,4311,3366,541
,PESSOAS SINGULARES COM TRABALHADORES A CARGO ,5500,10428,6938,3490,,AVEIRO,7571,0.065750165005037,5946,942,355,288,40
A,"Agricultura, produção animal, caça, floresta e pesca",885,7185,2779,4406,,BEJA,1021,0.008866849619619968,874,97,25,24,1
B,Indústrias extractivas,64,1026,158,868,,BRAGA,10982,0.09537291138361066,8621,1352,503,467,39
C,Indústrias transformadoras,11587,309702,143124,166578,,BRAGANÇA,1257,0.010916385868621252,1135,76,36,9,1
D,"Electricidade, gás, vapor, água quente e fria e ar frio",35,644,93,551,,CASTELO BRANCO,1507,0.013087504776461598,1292,130,39,38,8
E,"Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",252,4037,1554,2483,,COIMBRA,3900,0.03386945496230938,3262,401,126,98,13
F,Construção,3996,54533,7840,46693,,ÉVORA,1356,0.01177614895612603,1141,144,35,31,5
G,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,25527,246595,120799,125796,,FARO,7190,0.06244137978948831,5910,864,241,161,14
H,Transportes e armazenagem,6686,68519,17224,51295,,GUARDA,1388,0.012054052176329592,1227,105,30,24,2
I,"Alojamento, restauração e similares",25731,235835,130653,105182,,LEIRIA,5315,0.046157987980685725,4308,648,201,145,13
J,Actividades de informação e de comunicação ,1456,24561,9446,15115,,LISBOA,27751,0.2410028832459096,22244,3394,1083,816,214
K,Actividades financeiras e de seguros,385,5272,2887,2385,,PORTALEGRE,753,0.006539410150415118,654,68,16,13,2
L,Actividades imobiliárias,2544,17009,9480,7529,,PORTO,21837,0.18964289436203843,17389,2703,932,715,98
M,"Actividades de consultoria, científicas, técnicas e similares",5424,51108,25088,26020,,SANTARÉM,3609,0.03134227255358321,3043,371,107,75,13
N,Actividades administrativas e dos serviços de apoio,3756,150268,83876,66392,,SETÚBAL,6512,0.05655330531142529,5495,678,178,135,26
O,Administração pública e defesa; segurança social obrigatória,47,1316,427,889,,VIANA DO CASTELO,2606,0.022631743495327754,2192,255,81,65,13
P,Educação,2770,35151,27064,8087,,VILA REAL,1995,0.01732552888456595,1750,162,45,36,2
Q,Actividades de saúde humana e apoio social,7987,96211,83690,12521,,VISEU,3159,0.027434258519470595,2701,278,89,75,16
R,"Actividades artísticas, de espectáculos, desportivas e recreativas",4601,25591,11900,13691,,R.A.AÇORES,2101,0.018246083301490256,1731,242,71,52,5
S,Outras actividades de serviços,5664,34338,25705,8633,,R.A.MADEIRA,3293,0.02859797825407302,2661,401,118,98,15
T + U,Actividades das famílias empregadoras de pessoal doméstico e actividades de produção das  famílias para uso próprio + Actividades dos organismos internacionais e outras instituições extra-territoriais,4,20,11,9,,DESCONHECIDO/A,45,0.00039080140341126205,39,4,0,1,1
,,,,,,,NUT III,,,,,,,
Notas: ,,,,,,,Alto Minho,2606,0.022631743495327754,2192,255,81,65,13
"os totais podem ser divergentes, nomeadamente tendo em conta EE com CAE-Rev.2.1;",,,,,,,Cávado,5428,0.04713933372702956,4320,651,236,207,14
"a informação respeita aos trabalhadores e massa salarial das EE que entregaram documento, não necessariamente ao número total de trabalhadores efetivamente em situação de layoff simplificado.",,,,,,,Ave,5500,0.04776461597248758,4262,693,262,258,25
,,,,,,,Área Metropolitana do Porto,21493,0.1866554347448501,17169,2665,890,671,98
,,,,,,,Alto Tâmega,873,0.007581547226178483,788,59,14,11,1
,,,,,,,Tâmega e Sousa,4306,0.0373953520686421,3329,504,252,206,15
,,,,,,,Douro,1754,0.015232570257407858,1520,157,44,31,2
,,,,,,,Terras de Trás-os-Montes,1132,0.00983082641470108,1024,66,32,9,1
,,,,,,,Oeste,3485,0.030265397575294405,2835,421,131,90,8
,,,,,,,Região de Aveiro,3743,0.03250599228818564,2948,483,157,131,24
,,,,,,,Região de Coimbra,4120,0.03578003960120888,3448,419,134,105,14
,,,,,,,Região de Leiria,3325,0.028875881474276582,2685,406,134,91,9
,,,,,,,Viseu Dão Lafões,2461,0.02137249452878035,2096,223,66,61,15
,,,,,,,Beira Baixa,684,0.005940181331851183,611,45,18,8,2
,,,,,,,Médio Tejo,2165,0.018801889741897383,1823,216,71,47,8
,,,,,,,Beiras e Serra da Estrela,1961,0.017030256713099663,1687,170,48,48,8
,,,,,,,Área Metropolitana de Lisboa,32039,0.2782419147531872,25930,3808,1178,889,234
,,,,,,,Alentejo Litoral,847,0.007355750859763087,692,107,21,25,2
,,,,,,,Baixo Alentejo,765,0.006643623857991454,673,59,19,14,0
,,,,,,,Lezíria do Tejo,1723,0.014963351512835656,1447,185,42,43,6
,,,,,,,Alto Alentejo,753,0.006539410150415118,654,68,16,13,2
,,,,,,,Alentejo Central,1356,0.01177614895612603,1141,144,35,31,5
,,,,,,,Algarve,7190,0.06244137978948831,5910,864,241,161,14
,,,,,,,R. A. dos Açores,2101,0.018246083301490256,1731,242,71,52,5
,,,,,,,R. A. da Madeira ,3293,0.02859797825407302,2661,401,118,98,15
,,,,,,,Ignorado,45,0.00039080140341126205,39,4,0,1,1
