EEs QUE ENTREGARAM DOCUMENTO - COVID19 - Layoff Simplificado,Unnamed: 1,Unnamed: 2,Unnamed: 3
E COM REMUNERAÇÃO DECLARADA EM 2020-02,,,
,,,
Nota:,Situação da base de dados 22/07/2020,,
,,,
,Número,,
,Nº NISS_EE,Nº TRABALHADORES,REMUNERAÇÕES DECLARADAS
2020-03-31 00:00:00,3361,72507,69174523
2020-04-01 00:00:00,10322,231683,225500911
2020-04-02 00:00:00,17109,350028,339900463
2020-04-03 00:00:00,22275,425287,434790415
2020-04-04 00:00:00,31914,551955,570960157
2020-04-05 00:00:00,33633,566751,583655511
2020-04-06 00:00:00,34060,572727,589001244
2020-04-07 00:00:00,39837,641731,654727658.3
2020-04-08 00:00:00,48905,729512,746301278.52
2020-04-09 00:00:00,55639,796088,811077994.67
2020-04-10 00:00:00,62341,868863,882742534.42
2020-04-11 00:00:00,64192,883798,901547920.67
2020-04-12 00:00:00,65035,903387,916598658.75
2020-04-13 00:00:00,65410,909653,921889215.96
2020-04-14 00:00:00,69114,938821,950948580.36
2020-04-15 00:00:00,74055,980592,991044873.58
2020-04-16 00:00:00,79131,1018244,1025372101.4
2020-04-17 00:00:00,82230,1045187,1051781310.88
2020-04-18 00:00:00,84836,1079347,1094397677.47
2020-04-19 00:00:00,85279,1083062,1097691719.01
2020-04-20 00:00:00,85591,1085824,1100631821.99
2020-04-21 00:00:00,87778,1112312,1129520573
2020-04-22 00:00:00,90013,1132572,1147338055.26
2020-04-23 00:00:00,91597,1145660,1162468645.8
2020-04-24 00:00:00,93309,1162159,1179346012.24
2020-04-25 00:00:00,94752,1178380,1193033221.94
2020-04-26 00:00:00,94915,1179816,1194227768.44
2020-04-27 00:00:00,95058,1180769,1194991587.27
2020-04-28 00:00:00,96389,1191323,1204553182.33
2020-04-29 00:00:00,97699,1201387,1214477880.6
2020-04-30 00:00:00,99140,1211880,1225110487.72
2020-05-01 00:00:00,101802,1250124,1262031036.89
2020-05-02 00:00:00,102184,1256266,1268635212.25
2020-05-03 00:00:00,102357,1257766,1270025370.05
2020-05-04 00:00:00,102489,1258938,1271008109.68
2020-05-05 00:00:00,103668,1269728,1282185597.53
2020-05-06 00:00:00,104617,1277526,1290784001.79
2020-05-07 00:00:00,105484,1283774,1296586057.63
2020-05-08 00:00:00,106314,1290003,1302478462.56
2020-05-09 00:00:00,107013,1297284,1310193248.99
2020-05-10 00:00:00,107261,1298468,1311195124.29
2020-05-11 00:00:00,107405,1299115,1311783279.33
2020-05-12 00:00:00,107954,1304013,1317116599.19
2020-05-13 00:00:00,108516,1308646,1321827433.92
2020-05-14 00:00:00,108995,1312047,1325015408.19
2020-05-15 00:00:00,109376,1315187,1327878091.35
2020-05-16 00:00:00,109748,1318893,1334509327.55
2020-05-17 00:00:00,109810,1319393,1334950814.14
2020-05-18 00:00:00,109836,1319584,1335111718.94
2020-05-19 00:00:00,110114,1321931,1337420382.04
2020-05-20 00:00:00,110386,1323435,1338890402.48
2020-05-21 00:00:00,110641,1325635,1341053935.28
2020-05-25 00:00:00,111049,1328317,1343553687.93
2020-05-26 00:00:00,111258,1329401,1344475395.04
2020-05-27 00:00:00,111536,1332114,1346686714.61
2020-06-02 00:00:00,112549,1343852,1361803277.77
2020-06-05 00:00:00,112961,1347145,1365024174.96
2020-06-09 00:00:00,113214,1349103,1366880761.35
2020-06-16 00:00:00,113559,1351414,1369194529.07
2020-06-23 00:00:00,113853,1353556,1371257251.32
2020-06-26 00:00:00,114072,1355086,1372989011.86
2020-06-29 00:00:00,114200,1357318,1375708425.81
2020-07-01 00:00:00,114304,1359622,1378491676.19
2020-07-02 00:00:00,114360,1360157,1378988819.5
2020-07-06 00:00:00,114464,1361229,1380149126.56
2020-07-07 00:00:00,114521,1363172,1382678281.48
08/07/2020,114593,1363768,1383277091.26
15/07/2020,114751,1364721,1384224549.93
22/07/2020,114901,1366128,1385503299.54
,,,
Notas: ,,,
"podem existir divergências pouco significativas quando com comparações por CAE, Dimensão e Distrito;",,,
"a informação respeita aos trabalhadores e massa salarial das EE que entregaram documento, não necessariamente ao número total de trabalhadores efetivamente em situação de layoff simplificado.",,,
,,,
